Serie;URL Imagen;Plataforma;Tipo;Descripción;Rating Promedio
Breaking Bad;https://image.tmdb.org/t/p/w500/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg;Netflix;Drama;Un profesor de química con cáncer terminal se asocia con un exalumno suyo para fabricar y vender metanfetamina a fin de que su familia no pase apuros económicos.;8.9
Game of Thrones;https://image.tmdb.org/t/p/w500/z9gCSwIObDOD2BEtmUwfasar3xs.jpg;HBO Max;Drama;En una tierra donde los veranos duran décadas y los inviernos pueden durar toda una vida, los problemas acechan. Desde las maquinaciones del sur a las salvajes tierras del este, pasando por el helado norte y el milenario muro que protege el reino de las fuerzas tenebrosas, dos poderosas familias mantienen un enfrentamiento letal por gobernar los Siete Reinos de Poniente. Mientras la traición, la lujuria y las fuerzas sobrenaturales sacuden los pilares de los reinos, la sangrienta batalla por el trono de Hierro tendrá consecuencias imprevistas y trascendentales. El invierno se acerca. Que empiece 'Juego de tronos'.;8.5
Stranger Things;https://image.tmdb.org/t/p/w500/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg;Netflix;Ciencia ficción;A raíz de la desaparición de un niño, un pueblo desvela un misterio relacionado con experimentos secretos, fuerzas sobrenaturales aterradoras y una niña muy extraña.;8.6
The Crown;https://image.tmdb.org/t/p/w500/1ZMVKJoWK5KfxaQA8BwpfOEYKKy.jpg;Netflix;Drama;Drama sobre las rivalidades políticas y los romances acaecidos durante el reinado de Isabel II, así como de los eventos que moldearían la segunda mitad del siglo XX.;8.2
The Mandalorian;https://image.tmdb.org/t/p/w500/iLg3DzrwCDsHNovNaWx5JnQAsiV.jpg;Disney+;Ciencia ficción;En el anárquico período tras el hundimiento del Imperio Galáctico, un cazarrecompensas con armadura conocido solo como El Mandaloriano emprende una misión bien remunerada aunque enigmática.;8.4
The Witcher;https://image.tmdb.org/t/p/w500/gvn0m0LCIslrURjSo7UG5Rx6mV2.jpg;Netflix;Fantasía;Geralt, un brujo que se dedica a cazar monstruos genéticamente modificados, busca su lugar en un mundo donde a menudo los humanos demuestran ser peores que las bestias.;8
Westworld;https://image.tmdb.org/t/p/w500/vRAFOKQ2JxOagiJZaGQxmqTY1yl.jpg;HBO Max;Ciencia ficción;Westworld está ambientada en un parque de atracciones futurista dirigido por el Doctor Robert Ford. Las instalaciones cuentan con androides cuya apariencia física es humana, y gracias a ellos los visitantes pueden introducirse en cualquier tipo de fantasía, por muy oscura que sea...;8
The Handmaid's Tale;https://image.tmdb.org/t/p/w500/kAHyUzUkFv8xgJARoWEdiz9LgeY.jpg;HBO Max;Drama;Para enfrentarse a una tasa de natalidad en declive, un régimen fundamentalista ha empezado a tratar a las mujeres como propiedades. Como una de las pocas mujeres fértiles que quedan, Defred es una criada, una más de la casta de mujeres forzadas a una servidumbre sexual para intentar repoblar el mundo.;8.2
Black Mirror;https://image.tmdb.org/t/p/w500/6nDRo824oyBwg1prOZHc8UtonVB.jpg;Netflix;Ciencia ficción;Las historias más retorcidas pueblan esta alucinante serie antológica que muestra los peores rasgos de la humanidad, sus mayores innovaciones y mucho más.;8.3
Ozark;https://image.tmdb.org/t/p/w500/8Q87HCPhj98Afc0XAHOuaLgTTpO.jpg;Netflix;Drama;Un asesor financiero arrastra a su familia de Chicago hasta Misuri con la misión de lavar 500 millones de dólares en cinco años para apaciguar a un capo de la droga.;8.2
Narcos;https://image.tmdb.org/t/p/w500/rTmal9fDbwh5F0waol2hq35U4ah.jpg;Netflix;Drama;La verdadera historia de los poderosos y violentos cárteles colombianos sirve de hilo conductor en esta serie dramática de mafiosos de gran realismo.;8.1
House of Cards;https://image.tmdb.org/t/p/w500/hKWxWjFwnMvkWQawbhvC0Y7ygQ8.jpg;Netflix;Drama;"El implacable y manipulador congresista Francis Underwood (Kevin Spacey), con la complicidad de su calculadora mujer (Robin Wright), maneja con gran destreza los hilos de poder en Washington. Su intención es ocupar la Secretaría de Estado del nuevo gobierno. Sabe muy bien que los medios de comunicación son vitales para conseguir su propósito, por lo que decide convertirse en la ""garganta profunda"" de la joven y ambiciosa periodista Zoe Barnes (Kate Mara), a la que ofrece exclusivas para desestabilizar y hundir a sus adversarios políticos. Nueva adaptación de la novela homónima de Michael Dobbs, en la que se basó una miniserie británica de 1990.";8
Peaky Blinders;https://image.tmdb.org/t/p/w500/zUqNyXRfYkFAFXsqJJjKMZpjYus.jpg;Netflix;Drama;Una familia de pandilleros asentada en Birmingham, Reino Unido, tras la Primera Guerra Mundial (1914-1918), dirige un local de apuestas hípicas. Las actividades del ambicioso jefe de la banda llaman la atención del Inspector jefe Chester Campbell, un detective de la Real Policía Irlandesa que es enviado desde Belfast para limpiar la ciudad y acabar con la banda.;8.5
Sherlock;https://image.tmdb.org/t/p/w500/cIfGAkpvWD2zxHrXzhv3uptYbyV.jpg;Netflix;Drama;En esta renovada versión de las historias de misterio de Arthur Conan Doyle, el excéntrico detective merodea por las calles del Londres de hoy en día en busca de pistas.;8.5
Fargo;https://image.tmdb.org/t/p/w500/6U9CPeD8obHzweikFhiLhpc7YBT.jpg;Movistar+;Drama;Un vendedor ve cómo su mundo cambia por completo con la llegada de un misterioso y salvaje desconocido. Serie basada en la película del mismo título de los hermanos Coen, que sin embargo presenta personajes diferentes y se ambienta en 2006.;8.3
Mindhunter;https://image.tmdb.org/t/p/w500/fbKE87mojpIETWepSbD5Qt741fp.jpg;Netflix;Drama;Un agente del FBI, experto en asesinos en serie, inventa técnicas de creación de perfiles mientras persigue a violadores y asesinos famosos.;8.1
Better Call Saul;https://image.tmdb.org/t/p/w500/zjg4jpK1Wp2kiRvtt5ND0kznako.jpg;Netflix;Drama;"Esta precuela de ""Breaking Bad"" nominada al Emmy narra la vida del picapleitos Jimmy McGill y su transformación en Saul Goodman, el abogado de moral laxa.";8.7
Dark;https://image.tmdb.org/t/p/w500/hRP7N2uI0pokxnkcMFONoOZnxbv.jpg;Netflix;Ciencia ficción;Tras la desaparición de un niño, cuatro familias desesperadas tratan de entender lo ocurrido a medida que van desvelando un retorcido misterio que abarca tres décadas.;8.4
La casa de papel;https://image.tmdb.org/t/p/w500/z01Dc0Ly2GmCpLe6Scx4d3dPP1S.jpg;Netflix;Drama;Un enigmático personaje llamado el Profesor planea algo grande: llevar a cabo el mayor atraco de la historia. Para ello recluta una banda de ocho personas que reúnen un único requisito, ninguno tiene nada que perder. Cinco meses de reclusión memorizando cada paso, cada detalle, cada probabilidad… y por fin, once días de encierro en la Fábrica Nacional de Moneda, rodeados de cuerpos de policía y con decenas de rehenes en su poder para saber si su apuesta suicida será todo o nada.;8.2
The Boys;https://image.tmdb.org/t/p/w500/5kgY14oisiHcJ4zq0Xgq1e97PHm.jpg;Amazon Prime Video;Acción;"La serie tiene lugar en un mundo en el que los superhéroes representan el lado oscuro de la celebridad y la fama. Un grupo de vigilantes que se hacen llamar ""The Boys"" decide hacer todo lo posible por frenar a los superhéroes que están perjudicando a la sociedad, independientemente de los riesgos que ello conlleva.";8.5
Loki;https://image.tmdb.org/t/p/w500/53aonG0QS3ynbYuuwhPtyoOwTDD.jpg;Disney+;Acción;"Loki es llevado ante la misteriosa organización llamada AVT (Autoridad de Variación Temporal) después de los acontecimientos  ocurridos en  ""Avengers: Endgame (2019)"" y  se le da a elegir  enfrentarse a ser borrado de la existencia debido a que es una ""variante de tiempo"" o ayudar a arreglar la línea de tiempo y detener una amenaza mayor.";8.2
WandaVision;https://image.tmdb.org/t/p/w500/j2VeSZ7tncd2p8z1CeMnxbxK76b.jpg;Disney+;Comedia;Combinando el estilo clásico de las sitcoms con el MCU (Universo Cinematográfico de Marvel), cuenta la historia Wanda Maximoff y Vision, dos seres con superpoderes que viven una vida idílica en las afueras de una ciudad hasta que un día comienzan a sospechar que no todo es lo que parece.;8.2
The Queen's Gambit;https://image.tmdb.org/t/p/w500/3Skm8boxLsoQZK9xq2chf0rQHfF.jpg;Netflix;Drama;Kentucky, años 50. En el orfanato, una chica descubre que posee un talento extraordinario para el ajedrez mientras intenta superar una adicción.;8.5
Chernobyl;https://image.tmdb.org/t/p/w500/hlLXt2tOPT6RRnjiUmoxyG1LTFi.jpg;HBO Max;Drama;En Abril de 1986, la Central Nuclear de Chernóbil en Ucrania (en aquel entonces, la Unión Soviética), sufrió una explosión masiva que liberó material radioactivo en Bielorrusia, Rusia, Ucrania, así como en zonas de Escandinavia y Europa Central. La serie relata lo que aconteció en 1986, en uno de los mayores desastres provocados por el hombre en la historia reciente, así como los sacrificios realizados para salvar al continente de un desastre sin precedentes.;8.7
Succession;https://image.tmdb.org/t/p/w500/xyHasySw0HQ4ndRWHvrpRTAsWXd.jpg;HBO Max;Drama;La serie gira en torno a la vida de la familia Roy. Son multimillonarios y poderosos, tienen todo lo que ansían, salvo vida familiar. Son dueños de una de la compañías de comunicaciones más exitosas del mundo. Su objetivo principal es hacer que el imperio crezca y, para ello, las lealtades se pondrán en juego.;8.3
The Office (US);https://image.tmdb.org/t/p/w500/5uwetbr0X8BPRy3Wmh63S9EhsiY.jpg;Netflix;Comedia;Steve Carell protagoniza The Office, un fresco y divertido vistazo, con formato pseudo-documental, al día a día en la vida de unos excéntricos trabajadores de la empresa Dunder Mifflin. El serio pero despistadísimo director Michael Scott se considera un magnífico jefe y mentor, pero realmente inspira más críticas que respeto a sus empleados.;8.6
Friends;https://image.tmdb.org/t/p/w500/rkKCSlr8OH5tbKEdgwtzvEiemrl.jpg;HBO Max;Comedia;Las aventuras de seis jóvenes neoyorquinos unidos por una divertida amistad. Entre el amor, el trabajo y la familia, comparten sus alegrías y preocupaciones en el Central Perk, su café favorito.;8.4
The Simpsons;https://image.tmdb.org/t/p/w500/gpGPI732PWspwGpPyWrWov8IYmq.jpg;HBO Max;Comedia;El día a día de una peculiar familia formada por Homer, Marge, Bart, Maggie y Lisa Simpson y otros divertidos personajes de la localidad norteamericana de Springfield. Homer, el padre, es un desastroso inspector de seguridad de una central nuclear. Marge, la madre, es un ama de casa acostumbrada a soportar a su peculiar familia. Bart, de diez años, intenta divertirse con travesuras de todo tipo. Lisa es la más inteligente de la familia, y Maggie, la más pequeña, es un bebé que todavía no habla, pero que juega un importante papel.;8
Rick and Morty;https://image.tmdb.org/t/p/w500/5Yiep9EwcQgLolg013ETBVqHxuD.jpg;HBO Max;Ciencia ficción;Comedia animada que narra las aventuras de un científico loco Rick Sánchez, que regresa después de 20 años para vivir con su hija, su marido y sus hijos Morty y Summer.;8.7
The Walking Dead;https://image.tmdb.org/t/p/w500/hUblG1KZCTRpHc3wqqoU0DW98Q3.jpg;HBO Max;Terror;"""The Walking Dead"" está ambientada en un futuro apocalíptico con la Tierra devastada por el efecto de un cataclismo, que ha provocado la mutación en zombies de la mayor parte de los habitantes del planeta. La serie, explora las dificultades de los protagonistas para sobrevivir en un mundo poblado por el horror, así como las relaciones personales que se establecen entre ellos, en ocasiones también una amenaza para su supervivencia.";8.1
Grey's Anatomy;https://image.tmdb.org/t/p/w500/Vt21VzSNU9qv1eVYw9w0eUQg6N.jpg;Disney+;Drama;La vida de Meredith Grey no es nada fácil. Intenta tomar las riendas de su vida, aunque su trabajo sea de esos que te hacen la vida imposible. Meredith es una cirujana interna de primer año en el Hospital Grace de Seattle, el programa de prácticas más duro de la Facultad de Medicina de Harvard. Y ella lo va a comprobar. Pero no estará sola. Un elenco de compañeros de promoción tendrán que superar la misma prueba. Ahora están en el mundo real, son doctores del hospital. Y en un mundo donde la experiencia en el trabajo puede ser un factor de vida o muerte, todos ellos tendrán que lidiar con los altibajos de sus vidas personales.;8.2
Lost;https://image.tmdb.org/t/p/w500/47RazdqbtMmDxKHskObbHkc2D3o.jpg;Amazon Prime Video;Drama;Historia de un variopinto grupo de supervivientes de un accidente de aviación en una isla del Pacífico aparentemente desierta, una isla en la que suceden cosas muy extrañas. Luchando por la supervivencia, casi medio centenar de personas mostrarán lo mejor y lo peor de sí mismas.;7.9
Dexter;https://image.tmdb.org/t/p/w500/q8dWfc4JwQuv3HayIZeO84jAXED.jpg;Paramount+;Drama;Serie de suspense que narra la historia de un hombre extraño llamado Dexter Morgan. Cuando era niño, Dexter fue maltratado y abandonado por sus padres, ahora es un exitoso e importante forense patológico... pero bajo su carismática personalidad, se esconde una terrible verdad. Dexter ha canalizado sus innatas necesidades homicidas en una segunda profesión que guarda celosamente en secreto: buscar, dar caza y asesinar brutalmente a despiadados criminales.;8.2
True Detective;https://image.tmdb.org/t/p/w500/4XMpDLyu2xOeuKxl4qEQtwSrDac.jpg;HBO Max;Drama;"True Detective es una serie de televisión estadounidense dramática de género policíaco, protagonizada en su primera temporada por los actores estadounidenses Matthew McConaughey y Woody Harrelson; la serie se estrenó en Estados Unidos y América Latina el 12 de enero de 2014 por HBO. La serie sigue un formato de antología, así queen cada temporada contará una historia diferente con un elenco de personajes distintos.";8.3
Homeland;https://image.tmdb.org/t/p/w500/6GAvS2e6VIRsms9FpVt33PsCoEW.jpg;Amazon Prime Video;Drama;El sargento de la Marina Nicholas Brody regresa a casa ocho años después de su desaparición en Irak, donde vivió encarcelado y sometido a tortura. Finalmente, un comando de las fuerzas especiales lo localiza durante una misión. La joven Carrie Mathison, una impulsiva e intuitiva agente de la CIA, sospecha que Brody se ha pasado al enemigo durante su cautiverio, pues unos meses antes un terrorista condenado a muerte le habló de un soldado norteamericano que había cambiado de bando.;7.6
The Big Bang Theory;https://image.tmdb.org/t/p/w500/2bDQWCvFxRGhdvThTJvVxueEoLl.jpg;Movistar+;Comedia;Leonard y Sheldon son dos físicos superdotados que comparten piso. Ambos son capaces de calcular las probabilidades de existencia de vida en otros planetas, pero son incapaces de relacionarse con los demás y especialmente con las chicas. Penny, su nueva vecina, es el polo opuesto a ellos, por lo que su llegada al edificio alterará la tranquila vida sentimental de Leonard y el desorden obsesivo-compulsivo de Sheldon.;7.9
Modern Family;https://image.tmdb.org/t/p/w500/5kyZP827ukq6auRpYApZ2rDQtHP.jpg;Disney+;Comedia;Narrada desde la perspectiva de un documental, la serie ofrece un panorama honesto y divertido sobre la vida de varias familias, en donde se presentan la relación entre padres e hijos, diferencias generacionales y culturales.;7.9
Mad Men;https://image.tmdb.org/t/p/w500/ue7dKL8gNcvWwfs6kZ6Jqhmq2EY.jpg;Amazon Prime Video;Drama;Lo que eres, lo que quieres o lo que amas, no importa. Se trata todo de como lo vendes. Creada por el productor y guionista de Los Soprano, Matthew Weiner, Mad Men, es una provocativa serie acerca de como vender la verdad. Ambientada en el Nueva York de los años 60, la serie gira en torno a las vidas de unos hombres y mujeres sin piedad y muy competitivos que trabajan en el mundo de la publicidad, ubicado en Madison Avenue, un mundo guiado por el ego y el amor propio de sus protagonistas, acostumbrados a hacer un arte de la venta mientras sus vidas privadas quedan bastante apartadas de sus prioridades. La serie refleja además de forma auténtica y realista los roles de hombres y mujeres en esta época, mientras exploran la verdadera naturaleza humana bajo la fachada de los valores familiares tradicionales de la década de los sesenta.;8.1
Community;https://image.tmdb.org/t/p/w500/3KUjDt8XY7w2Ku70UE0SECmv1zP.jpg;Netflix;Comedia;Un grupo de adultos inadaptados asisten a la Universidad Comunitaria de Greendale, en el grupo destaca Jeff Winger, un abogado carismático y sin escrúpulos cuyo título universitario ha sido invalidado. Con la ayuda de sus pintorescos compañeros de clase, Winger forma un grupo de estudio en el que dominan las discusiones y la camaradería.;8
Arrested Development;https://image.tmdb.org/t/p/w500/p4r4RD7RsNcJVoz0H6z3dBoTBtW.jpg;Netflix;Comedia;Es la historia, ganadora del premio Emmy, de una familia adinerada que lo perdió todo y el hijo que tuvo que mantener a todos unidos.;7.9
The Fresh Prince of Bel-Air;https://image.tmdb.org/t/p/w500/nOsDVE1eE0mwFd6iKdpxlMHYEih.jpg;Netflix;Comedia;El príncipe de Bel-Air es una comedia de situación estadounidense, emitida originalmente en la NBC desde el 10 de septiembre de 1990 hasta el 20 de mayo de 1996. Will Smith protagoniza la serie interpretando a una versión ficticia de sí mismo, un adolescente de las calles de Filadelfia al que mandan con sus tíos ricos a una mansión de Bel-Air, en la cual su estilo de vida chocará con el de sus parientes. Los 148 episodios de la serie se emitieron en seis temporadas.;7.9
How I Met Your Mother;https://image.tmdb.org/t/p/w500/6bBgRoW5HniYbjIylWKLCJ5bVL6.jpg;Disney+;Comedia;How I Met Your Mother. Exitosa serie de la CBS que, en su primera temporada, obtuvo excelentes índices de audiencia además de ganar dos premios Emmy: uno a la dirección artística y otro a la fotografía. En el año 2030, Ted (Josh Radnor) relata a sus dos hijos adolescentes cómo conoció a su madre y cómo fue su vida hasta que, por fin, encontró el amor verdadero. Todo empezó cuando Marshall (Jason Segel), su mejor amigo, decidió casarse con Lily (Alyson Hannigan), su novia de toda la vida. Entonces Ted decidió lanzarse a la búsqueda del amor verdadero y formar una familia. Para conseguirlo contó con el apoyo de su amigo Barney (Neil Patrick Harris), un joven algo extravagante y muy hábil para conocer mujeres. Cuando, por fin, Ted conoce a Robin (Cobie Smulders), una impresionante joven canadiense que acaba de mudarse a Nueva York, está completamente seguro de que es amor a primera vista, pero el destino aún puede depararle muchas sorpresas.;8.1
The Marvelous Mrs. Maisel;https://image.tmdb.org/t/p/w500/xnUj7LiTJq2M5vbwJnzOZB2x4nc.jpg;Amazon Prime Video;Comedia;"Manhattan, año 1958. Miriam Midge Maisel (Rachel Brosnahan) es una mujer cuya vida como esposa y madre da un giro inesperado cuando descubre un talento desconocido para la comedia. Midge cambiará entonces su cómoda existencia en el Upper West Side para hacer monólogos. Una serie de la creador de ""Las chicas Gilmore"".";8.1
Vikings;https://image.tmdb.org/t/p/w500/m8iQ4ZObxGbSu0cs8xTOVTeZ9QX.jpg;Netflix;Drama;Sigue las aventuras de Ragnar Lothbrok, el héroe más grande de su época. La serie narra las sagas de la banda de hermanos vikingos de Ragnar y su familia, cuando él se levanta para convertirse en el rey de las tribus vikingas. Además de ser un guerrero valiente, Ragnar encarna las tradiciones nórdicas de la devoción a los dioses, la leyenda dice que él era un descendiente directo de Odín, el dios de la guerra y los guerreros.;8.1
Suits;https://image.tmdb.org/t/p/w500/nZsdLWlvZgA5waLpKl9koRg1VbJ.jpg;Netflix;Drama;Michael Ross se gana la vida sobre la delgada línea de la legalidad. Es un joven con una inteligencia abrumadora, pero las malas compañías con las que se junta en la universidad le hicieron salirse y buscar una opción más vistosa a corto plazo, mejorar su economía. Entre sus triquiñuelas destaca el número de veces que se presenta en nombre de otros a los exámenes de corte de derecho. El azar le acabará situando en el despacho de uno de los abogados más jóvenes y brillantes de Manhattan, Harvey Specter. La inteligencia y dotes de Michael le asombrarán tanto que le tomará como su pupilo, a pesar de que no tenga la licenciatura. Juntos trabajarán mano a mano, ocultándole al resto del mundo la verdad: que juntos sólo suman un sólo título universitario.;8.2
Lost in Space;https://image.tmdb.org/t/p/w500/f7xArCMZPBW7SoCsqsOXvc3X8Ry.jpg;Netflix;Ciencia ficción;El profesor John Robinson decide abandonar la Tierra, con problemas de sobrepoblación, y mudarse con su esposa y sus dos hijos a un planeta habitable del sistema Alpha Centauri. Para ello, emprenden un viaje espacial durante el que permanecerán en animación suspendida, en la nave Jupiter 2 pilotada por el comandante Donald West, el mejor amigo de Robinson. Un agente extranjero intenta sabotear el viaje, lo que provocará que el Jupiter 2 se desvíe de su trayectoria. Emblemática serie de los 60, inspirada libremente en la novela Los robinsones suizos, de J. R. Wyss, pero en clave de ciencia ficción. La acción comienza en 1997, un año que parecía muy lejano en el tiempo cuando se rodó la serie. En 1998 se rodó una versión cinematográfica.;7.1
The Umbrella Academy;https://image.tmdb.org/t/p/w500/5rhtcR1xl1tSmH3FcMH3IJ8gNGC.jpg;Netflix;Acción;Un grupo disuelto de superhéroes se reúne después de que su padre adoptivo, quien los entrenó para salvar el mundo, muere.;8.5
The Haunting of Hill House;https://image.tmdb.org/t/p/w500/zejY9M8YPgLX6gB7Hnt8vZRcYNF.jpg;Netflix;Terror;Sirviéndose de flashbacks, una familia rota se enfrenta a los perturbadores recuerdos de su viejo hogar y de los terroríficos eventos que hicieron que lo abandonaran.;8.1
The Expanse;https://image.tmdb.org/t/p/w500/8djpxDeWpINnGhjpFXQjnBe6zbx.jpg;Amazon Prime Video;Ciencia ficción;"Doscientos años en el futuro, en un sistema solar totalmente colonizado, el detective de la policía Miller, nacido en el Cinturón de Asteroides, es encargado con la misión de encontrar a una joven mujer desaparecida llamada Julie Mao.  Acompañando a Miller en su misión se encuentra James Holden, anteriormente primer oficial en un carguero de hielo, y quien estuvo involucrado en un incidente causado por las tensas relaciones entre la Tierra, Marte y el Cinturón. Pronto, ambos descubrirán que la mujer desaparecida es solo la punta del iceberg de una conspiración de inmensa magnitud que atentará contra la historia y la existencia de la Humanidad.

'The Expanse' es un 'thriller' futurista de ciencia ficción, escrito por Mark Fergus y Hawk Ostby, basado en la serie de novelas del mismo nombre. El proyecto ha sido desarrollado por la cadena SyFy US en colaboración con Alcon Entertainment.";8.1
Travelers;https://image.tmdb.org/t/p/w500/jgIRsrkSRFIA00RvSqhSUhePbAf.jpg;Netflix;Ciencia ficción;"Cientos de años en el futuro, los últimos supervivientes humanos sobre la Tierra descubren los medios para enviar su consciencia a través del tiempo al pasado, directamente a la gente del siglo XXI. Los viajeros asumen rápidamente las vidas de gente aparentemente elegida al azar mientras empiezan a trabajar de forma secreta en equipos para realizar misiones que salven la humanidad de un terrible futuro. Estos viajeros son: El agente especial del FBI Grant MacLaren (Eric McCormack), líder del equipo; Marcy (Mackenzie Porter), una mujer joven con discapacidad intelectual bajo el cuidado de su asistente social, David (Patrick Gilmore); Trevor (Jared Paul Abrahamson), mariscal de campo (quarterback) en el equipo de fútbol americano de su instituto; Carly (Nesta Marlee Cooper), madre soltera que se encuentra en una relación abusiva; y Philip (Reilly Dolman), un estudiante universitario adicto a la heroína. Armados solamente con su conocimiento sobre la historia y un archivo de perfiles de redes sociales, los viajeros descubren que las vidas y relaciones en el siglo XXI son un desafío tan grande como sus misiones de alto riesgo.";7.6
Black Sails;https://image.tmdb.org/t/p/w500/mZcSwrDdw6cdOVgXm496DgwrQcQ.jpg;Starzplay;Drama;Basada en la famosa novela ‘La isla del tesoro’, aventuras de piratas plagada de sangre, sexo y violencia, ‘Black Sails‘ sigue las aventuras con el capitán Flint, un famoso pirata que supuestamente depositó un tesoro en una isla. Flint estará acompañado de un grumete llamado Long John Silver.;7.6
